canonical_note,note_ko,translated_at,model
grapefruit,자몽,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
black pepper,블랙 페퍼,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
mandarin,만다린,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
neroli,네롤리,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
tobacco,타바코,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
tuberose,튜베로즈,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
myrrh,미르,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
coriander,코리앤더,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
clove,클로브,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
ginger,진저,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
frankincense,프랑킨센스,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
moss,모스,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
lily of the valley,은방울꽃,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
ylang ylang,일랑일랑,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
orange,오렌지,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
orris,오리스,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
honey,허니,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
heliotrope,헬리오트로프,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
osmanthus,오스만투스,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
tonka,통카,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
galbanum,갈바넘,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
magnolia,목련,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
ylang-ylang,일랑일랑,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
cumin,큐민,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
castoreum,카스토리움,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
peach,복숭아,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
pepper,후추,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
styrax,스티락스,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
cistus,시스투스,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
petitgrain,쁘띠그랭,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
clary sage,클라리 세이지,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
lime,라임,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
cypress,사이프러스,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
gaiac,가이악,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
olibanum,올리바눔,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
juniper,주니퍼,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
mint,민트,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
basil,바질,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
elemi,엘레미,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
cashmeran,캐시메란,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
gardenia,가드니아,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
raspberry,라즈베리,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
ambroxan,앰브록산,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
civet,시벳,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
blackcurrant,블랙커런트,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
carnation,카네이션,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
almond,아몬드,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
ambrette,앰브레트,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
bulgarian rose,불가리안 로즈,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
rosemary,로즈마리,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
coconut,코코넛,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
citrus,시트러스,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
peony,피오니,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
musks,머스크,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
jasmine sambac,자스민 삼박,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
bitter orange,비터 오렌지,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
opoponax,오포포낙스,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
apple,사과,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
plum,자두,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
orange flower,오렌지 플라워,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
guaiacwood,구아이악우드,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
davana,다바나,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
thyme,타임,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
sage,세이지,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
agarwood,아가우드,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
haitian vetiver,아이티 베티버,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
aldehydes,알데하이드,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
pear,배,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
freesia,프리지아,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
tangerine,탠저린,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
caramel,카라멜,2026-09-24T03:25:12.593285+00:00,gpt-5.6-luna
turkish rose,터키시 로즈,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
fig,무화과,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
papyrus,파피루스,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
violet leaf,바이올렛 리프,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
rum,럼,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
woods,우드,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
coffee,커피,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
pineapple,파인애플,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
cypriol,사이프리올,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
spices,스파이시 노트,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
birch,자작나무,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
cassis,카시스,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
woody notes,우디 노트,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
yuzu,유자,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
green notes,그린 노트,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
lychee,리치,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
atlas cedar,아틀라스 시더,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
mimosa,미모사,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
hay,건초,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
angelica,안젤리카,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
artemisia,아르테미시아,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
immortelle,임모르텔,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
beeswax,밀랍,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
rose de mai,메이 로즈,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
cocoa,코코아,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
hedione,헤디온,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
lily,백합,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
narcissus,수선화,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
muguet,뮤게,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
cloves,정향,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
resins,레진,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
green tea,그린 티,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
gaiac wood,가이악 우드,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
rosewood,로즈우드,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
fir balsam,퍼 발삼,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
black tea,블랙 티,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
suede,스웨이드,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
indonesian patchouli,인도네시아 패출리,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
tolu balsam,톨루 발삼,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
eucalyptus,유칼립투스,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
apricot,살구,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
pine,소나무,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
blood orange,블러드 오렌지,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
cashmere wood,캐시미어 우드,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
white flowers,화이트 플라워,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
ylang,일랑일랑,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
oak moss,오크모스,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
orchid,난초,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
star anise,스타 아니스,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
sweet orange,스위트 오렌지,2026-09-24T03:25:19.612521+00:00,gpt-5.6-luna
grey amber,그레이 앰버,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
rhubarb,루바브,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
frangipani,프랑지파니,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
coumarin,쿠마린,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
peru balsam,페루 발삼,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
mandarin orange,만다린 오렌지,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
egyptian jasmine,이집션 자스민,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
madagascar vanilla,마다가스카르 바닐라,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
hyacinth,히아신스,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
honeysuckle,허니서클,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
strawberry,스트로베리,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
amyris,아미리스,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
anise,아니스,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
oak,오크,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
chamomile,캐모마일,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
green leaves,그린 리브스,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
dark chocolate,다크 초콜릿,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
violet leaves,바이올렛 리브스,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
pink peppercorn,핑크 페퍼콘,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
licorice,감초,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
cade,케이드,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
wood,우드,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
orris root,오리스 루트,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
juniper berry,주니퍼 베리,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
pink grapefruit,핑크 자몽,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
cognac,코냑,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
champaca,참파카,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
sichuan pepper,쓰촨 페퍼,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
birch tar,버치 타르,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
white amber,화이트 앰버,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
orris butter,오리스 버터,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
cyclamen,시클라멘,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
mysore sandalwood,마이소르 샌달우드,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
smoke,스모크,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
australian sandalwood,오스트레일리안 샌달우드,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
mango,망고,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
patchouly,패출리,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
tarragon,타라곤,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
mate,마테,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
carrot seed,캐럿 시드,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
chocolate,초콜릿,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
hinoki,히노키,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
blackberry,블랙베리,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
cistus labdanum,시스투스 라다넘,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
white musks,화이트 머스크,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
black amber,블랙 앰버,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
jasmine absolute,자스민 앱솔루트,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
jasmin,자스민,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
pimento,피멘토,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
green mandarin,그린 만다린,2026-09-24T03:25:25.452994+00:00,gpt-5.6-luna
aldehyde,알데하이드,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
juniper berries,주니퍼 베리,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
camphor,캄퍼,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
white cedar,화이트 시더,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
ambrette seeds,앰브레트 씨드,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
caraway,캐러웨이,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
coconut milk,코코넛 밀크,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
laurel,로렐,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
spearmint,스피어민트,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
calabrian bergamot,칼라브리아 베르가못,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
tea,티,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
italian bergamot,이탈리아 베르가못,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
black currant,블랙 커런트,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
sugar,슈가,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
lilac,라일락,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
mahogany,마호가니,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
green apple,그린 애플,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
whiskey,위스키,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
precious woods,프레셔스 우드,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
wormwood,웜우드,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
sicilian lemon,시칠리안 레몬,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
angelica root,안젤리카 루트,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
ash,애쉬,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
damask rose,다마스크 로즈,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
tobacco leaf,타바코 리프,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
peppermint,페퍼민트,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
grass,그라스,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
white rose,화이트 로즈,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
white peach,화이트 피치,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
milk,밀크,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
cacao,카카오,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
indian sandalwood,인디언 샌달우드,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
nagarmotha,나가르모타,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
tonka beans,통카 빈,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
marigold,메리골드,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
bay leaf,베이 리프,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
myrtle,머틀,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
florentine iris,플로렌틴 아이리스,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
costus,코스투스,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
pomelo,포멜로,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
iso e super,아이소 이 슈퍼,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
virginia cedar,버지니아 시더,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
tonka bean absolute,통카 빈 앱솔루트,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
blueberry,블루베리,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
sambac jasmine,삼박 자스민,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
seaweed,씨위드,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
clementine,클레멘타인,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
hazelnut,헤이즐넛,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
indian tuberose,인디언 튜베로즈,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
linden blossom,린든 블라썸,2026-09-24T03:25:33.471282+00:00,gpt-5.6-luna
vanilla bean,바닐라 빈,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
turmeric,터메릭,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
guaiac,구아이악 우드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
amber wood,앰버 우드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
cashmere woods,캐시미어 우드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
rose otto,로즈 오토,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
red pepper,레드 페퍼,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
ambrette seed,앰브레트 씨드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
floral notes,플로럴 노트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
atlas cedarwood,아틀라스 시더우드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
everlasting flower,에버라스팅 플라워,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
dried fruits,드라이 프루츠,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
white pepper,화이트 페퍼,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
hawthorn,산사나무,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
vanilla pod,바닐라 포드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
bitter almond,비터 아몬드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
fruity notes,프루티 노트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
sea salt,씨 솔트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
ambrox,앰브록스,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
mandarine,만다린,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
shiso,차조기,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
jasmin sambac,자스민 삼박,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
mushroom,머시룸,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
absinthe,압생트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
melon,멜론,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
mastic,매스틱,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
carrot,캐럿,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
osmanthus absolute,오스만투스 앱솔루트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
tahitian vanilla,타히티안 바닐라,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
rice powder,라이스 파우더,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
red berries,레드 베리,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
tiare,티아레,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
bourbon vanilla,버번 바닐라,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
tuberose absolute,튜베로즈 앱솔루트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
and musk,앤 머스크,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
agarwood oud,아가우드 오드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
and vanilla,앤 바닐라,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
pomegranate,석류,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
fir,퍼,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
oregano,오레가노,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
balsam,발삼,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
rose essence,로즈 에센스,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
petit grain,쁘띠그레인,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
sicilian bergamot,시칠리안 베르가못,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
bigarade,비가라드,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
vetyver,베티버,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
vanilla absolute,바닐라 앱솔루트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
calone,칼론,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
labdanum absolute,라브다넘 앱솔루트,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
enigmatic musks,에니그매틱 머스크,2026-09-24T03:25:42.909938+00:00,gpt-5.6-luna
tolu,톨루,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
broom,브룸,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
blackcurrant bud,블랙커런트 버드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
white woods,화이트 우드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
leather accord,가죽 어코드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
lemongrass,레몬그라스,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
prune,프룬,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
watermelon,수박,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
italian lemon,이탈리안 레몬,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
patchouli from indonesia,인도네시아산 패출리,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
blonde woods,블론드 우드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
pink berries,핑크 베리,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
rose oxide,로즈 옥사이드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
red apple,레드 애플,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
coffee absolute,커피 앱솔루트,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
fruity,프루티,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
amber woods,앰버 우드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
akigalawood,아키갈라우드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
banana,바나나,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
cedrat,시트론,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
bourbon geranium,버번 제라늄,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
tahitian gardenia,타히티 가드니아,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
berries,베리,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
wisteria,위스테리아,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
dry wood,드라이 우드,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
orange blossom absolute,오렌지 블라썸 앱솔루트,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
teak,티크,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
moroccan rose,모로칸 로즈,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
lotus,로터스,2026-09-24T03:25:51.433926+00:00,gpt-5.6-luna
